Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
0.0,596.0766054265291,0.0,0.0
0.01,720.6834534638405,7.206834534638404,0.036034172673192026
0.02,495.81664738459216,12.165001008484326,0.13289335038880568
0.03,-970.986576487514,2.4551352436091864,0.20599403164927324
0.04,-4039.155943403605,-37.93642419042686,0.028587586915184843
0.05,-8071.405944441052,-52.73354828214994,-0.7543469522111365
0.06,-11512.55720541823,-167.85912033633224,-1.8573102953035474
0.07,-11812.674631271444,-285.98586664904667,-4.126535230230441
0.08,-7314.097248870258,-359.12683913774924,-7.352098759164422
0.09,-529.8338386364647,-364.4251775241139,-10.969858842473737
0.1,3780.150546729753,-180.8992645237752,-14.42510309037839
0.11,5704.5589855005455,-123.85367466876974,-15.948867786341113
0.12,8454.742419653026,-39.30625047223947,-16.76466741204616
0.13,11049.327538498184,71.18702491274237,-16.605263539843644
0.14,10802.101213020498,179.20803704294735,-15.353288230065196
0.15,8192.205552000712,153.95424958360127,-13.151597582035686
0.16,4792.340862515592,201.87765820875717,-11.372438043073894
0.17,1883.146252864697,220.70912073740413,-9.259504148343087
0.18,526.6438648496425,225.97555938590057,-7.026080747726563
0.19,729.9847165202276,233.27540655110283,-4.729825918041546
0.2,1468.1136832835816,149.33265364604569,-2.323666168366338
0.21,1769.343091820469,167.02608456425037,-0.7418724773148576
0.22,1032.2046005521609,177.34813056977197,0.979998598355254
0.23,-488.4475047457026,172.46365552231495,2.7290575288156886
0.24,-1758.486183970535,154.8787936826096,4.365769774840312
0.25,-1993.9637896410325,81.89314422124376,5.814859522184356
0.26,-1228.6235035530976,69.60690918571278,6.5723597892191385
0.27,-48.19976346920134,69.12491155102077,7.266018892902806
0.28,863.9678179072481,77.76458973009325,8.000466399308376
0.29,952.7227029928498,87.29181676002175,8.825748431758951
0.3,239.5360584239129,54.583774044370905,9.710643402280363
0.31,-510.0334631135283,49.48343941323562,10.230979469568394
0.32,-550.8595622873706,43.974843790361916,10.698270885586382
0.33,-24.642549865579927,43.72841829170612,11.136787195996721
0.34,634.2964232172361,50.07138252387848,11.605786200074643
0.35,1071.6274169031271,37.03406963505428,12.160081396158585
0.36,865.1773598768141,45.685843233822425,12.573680960502967
0.37,244.9304994064432,48.13514822788686,13.042785917811514
0.38,-139.8792363486996,46.73635586439986,13.51714343827295
0.39,-218.4171521909812,44.55218434249005,13.9735861393074
0.4,-235.0075160631433,25.72102170383478,14.407357606929144
0.41,-258.0683784300539,23.14033791953424,14.651664405045988
0.42,-482.0452636913448,18.319885282620792,14.858965521056763
0.43,-1074.5154876351216,7.574730406269575,14.988438599501215
0.44,-1917.1154352302813,-11.596423946033239,14.968330131802398
0.45,-2511.2133351253665,-22.376068402268395,14.726805225585798
0.46,-2319.361352061934,-45.56968192288774,14.387076473960017
0.47,-1412.8090672741057,-59.6977725956288,13.860739201367434
0.48,-380.3461038996126,-63.501233634624924,13.244744170216165
0.49,131.31077256519904,-62.188125908972935,12.616297372498176
0.5,-130.75750341327642,-38.7065062855109,11.987878238237782
0.51,-700.1572394058207,-45.708078679569105,11.565805313412381
0.52,-883.3102656383538,-54.54118133595264,11.064559013334772
0.53,-521.7366153590732,-59.758547489543375,10.493060369207292
0.54,155.23164789396031,-58.20623101060377,9.903236476706557
0.55,901.3449850985188,-29.988147868672016,9.366241415855445
0.56,1277.125698402512,-17.216890884646894,9.130216222088851
0.5700000000000001,678.9638485624491,-10.427252399022402,8.991995505670504
0.58,-673.5941057202027,-17.16319345622443,8.85404327639427
0.59,-1483.7233302399495,-32.000426758623924,8.608225175320028
0.6,-1073.8863022003866,-26.054261636510503,8.23452659262377
0.61,-21.978676714412668,-26.27404840365463,7.972885042422944
0.62,488.0317253662232,-21.393731149992398,7.7345461446547095
0.63,-667.4233138058738,-28.067964288051137,7.487237667464492
0.64,-3767.362431922942,-65.74158860728056,7.018189902987833
0.65,-7792.319736473072,-87.57960640415483,5.971158030091374
0.66,-11473.48669319165,-202.31447333607133,4.521687631390243
0.67,-12944.964616090248,-331.7641194969738,1.8512946672250175
0.68,-9976.95870555058,-431.5337065524796,-1.9651944630222498
0.6900000000000001,-3718.3949591206174,-468.71765614368576,-6.466451276503077
0.7000000000000001,2762.4712992298305,-268.8952997111646,-11.015504272978443
0.71,8452.182456757779,-184.37347514358683,-13.2818481472522
0.72,11985.2293104135,-64.52118203945182,-14.526321433167393
0.73,11980.853011929765,55.28734807984583,-14.572490602965424
0.74,10012.209842503242,155.40944650487825,-13.519006630041803
0.75,7657.765593062842,141.42204270237332,-11.582023885339877
0.76,4706.386545472418,188.4859081570975,-9.932484131042523
0.77,1838.299320042595,206.86890135752344,-7.955710083469419
0.78,448.6611350238833,211.35551270776227,-5.86458801314299
0.79,524.296914213243,216.5984818498947,-3.724818040354705
0.8,990.4729924461428,138.07901842729382,-1.5093095722334506
0.81,1169.6917322269758,149.7759357495636,-0.07003480134916364
0.8200000000000001,897.9877063438282,158.75581281300188,1.4726239414636637
0.8300000000000001,157.2847198566012,160.3286600115679,3.068046305586513
